../data/album_reviews/20200325_Childish Gambino - 3.15.20 ALBUM REVIEW/20200325_Childish Gambino - 3.15.20 ALBUM REVIEW.jpg	black-white flannel
../data/album_reviews/20160502_Drake - Views ALBUM REVIEW/20160502_Drake - Views ALBUM REVIEW.jpg	none
../data/album_reviews/20100619_Uffie- Sex Dreams and Denim Jeans ALBUM REVIEW/20100619_Uffie- Sex Dreams and Denim Jeans ALBUM REVIEW.jpg	none
../data/album_reviews/20110810_Matana Roberts- Coin Coin Chapter One - Gens de Couleur Libres ALBUM REVIEW/20110810_Matana Roberts- Coin Coin Chapter One - Gens de Couleur Libres ALBUM REVIEW.jpg	none
../data/album_reviews/20180604_Kanye West - ye ALBUM REVIEW/20180604_Kanye West - ye ALBUM REVIEW.jpg	yellow flannel
../data/album_reviews/20180529_Park Jiha - Communion ALBUM REVIEW/20180529_Park Jiha - Communion ALBUM REVIEW.jpg	none
../data/album_reviews/20141120_Pink Floyd - The Endless River ALBUM REVIEW/20141120_Pink Floyd - The Endless River ALBUM REVIEW.jpg	none
../data/album_reviews/20151219_Baroness - Purple ALBUM REVIEW/20151219_Baroness - Purple ALBUM REVIEW.jpg	none
../data/album_reviews/20150807_Lil Dicky - Professional Rapper ALBUM REVIEW/20150807_Lil Dicky - Professional Rapper ALBUM REVIEW.jpg	none
../data/album_reviews/20130531_Deafheaven - Sunbather ALBUM REVIEW/20130531_Deafheaven - Sunbather ALBUM REVIEW.jpg	none
../data/album_reviews/20110912_Wolves In the Throne Room- Celestial Lineage ALBUM REVIEW/20110912_Wolves In the Throne Room- Celestial Lineage ALBUM REVIEW.jpg	none
../data/album_reviews/20100816_Thou- Summit ALBUM REVIEW/20100816_Thou- Summit ALBUM REVIEW.jpg	none
../data/album_reviews/20150417_The Mountain Goats - Beat The Champ ALBUM REVIEW/20150417_The Mountain Goats - Beat The Champ ALBUM REVIEW.jpg	yellow flannel
../data/album_reviews/20120821_Eprom- Metahuman ALBUM REVIEW/20120821_Eprom- Metahuman ALBUM REVIEW.jpg	none
../data/album_reviews/20141209_Full of Hell - Full of Hell & Merzbow ALBUM REVIEW/20141209_Full of Hell - Full of Hell & Merzbow ALBUM REVIEW.jpg	none
../data/album_reviews/20120925_The Gaslamp Killer- Breakthrough ALBUM REVIEW/20120925_The Gaslamp Killer- Breakthrough ALBUM REVIEW.jpg	none
../data/album_reviews/20110602_Death Cab for Cutie- Codes and Keys ALBUM REVIEW/20110602_Death Cab for Cutie- Codes and Keys ALBUM REVIEW.jpg	none
../data/album_reviews/20121015_Converge- All We Love We Leave Behind ALBUM REVIEW/20121015_Converge- All We Love We Leave Behind ALBUM REVIEW.jpg	none
../data/album_reviews/20130306_The Men - New Moon ALBUM REVIEW/20130306_The Men - New Moon ALBUM REVIEW.jpg	none
../data/album_reviews/20150403_Billy Woods - Today, I Wrote Nothing ALBUM REVIEW/20150403_Billy Woods - Today, I Wrote Nothing ALBUM REVIEW.jpg	none
../data/album_reviews/20130522_Anamanaguchi - Endless Fantasy ALBUM REVIEW/20130522_Anamanaguchi - Endless Fantasy ALBUM REVIEW.jpg	none
../data/album_reviews/20120507_OFF!- Self-Titled ALBUM REVIEW/20120507_OFF!- Self-Titled ALBUM REVIEW.jpg	none
../data/album_reviews/20150415_Death Cab For Cutie - Kintsugi ALBUM REVIEW/20150415_Death Cab For Cutie - Kintsugi ALBUM REVIEW.jpg	none
../data/album_reviews/20130215_Pissed Jeans - Honeys ALBUM REVIEW/20130215_Pissed Jeans - Honeys ALBUM REVIEW.jpg	none
../data/album_reviews/20110412_TV on the Radio- Nine Types of Light ALBUM REVIEW/20110412_TV on the Radio- Nine Types of Light ALBUM REVIEW.jpg	none
../data/album_reviews/20140509_Lykke Li - I Never Learn ALBUM REVIEW/20140509_Lykke Li - I Never Learn ALBUM REVIEW.jpg	none
../data/album_reviews/20140225_Sunn O))) & Ulver - Terrestrials ALBUM REVIEW/20140225_Sunn O))) & Ulver - Terrestrials ALBUM REVIEW.jpg	none
../data/album_reviews/20160614_Nas - Illmatic ALBUM REVIEW/20160614_Nas - Illmatic ALBUM REVIEW.jpg	none
../data/album_reviews/20120828_The Faceless- Autotheism ALBUM REVIEW/20120828_The Faceless- Autotheism ALBUM REVIEW.jpg	? flannel
../data/album_reviews/20120521_Dope Body- Natural History ALBUM REVIEW/20120521_Dope Body- Natural History ALBUM REVIEW.jpg	none
../data/album_reviews/20111027_Justice- Audio, Video, Disco ALBUM REVIEW/20111027_Justice- Audio, Video, Disco ALBUM REVIEW.jpg	none
../data/album_reviews/20101005_Twin Shadow- Forget ALBUM REVIEW/20101005_Twin Shadow- Forget ALBUM REVIEW.jpg	none
../data/album_reviews/20111108_David Lynch- Crazy Clown Time ALBUM REVIEW/20111108_David Lynch- Crazy Clown Time ALBUM REVIEW.jpg	none
../data/album_reviews/20120220_Grimes- Visions ALBUM REVIEW/20120220_Grimes- Visions ALBUM REVIEW.jpg	none
../data/album_reviews/20120405_BADBADNOTGOOD- BBNG2 ALBUM REVIEW/20120405_BADBADNOTGOOD- BBNG2 ALBUM REVIEW.jpg	none
../data/album_reviews/20190723_Big K.R.I.T. - K.R.I.T. Iz Here ALBUM REVIEW/20190723_Big K.R.I.T. - K.R.I.T. Iz Here ALBUM REVIEW.jpg	red flannel
../data/album_reviews/20140602_clipping. - CLPPNG ALBUM REVIEW/20140602_clipping. - CLPPNG ALBUM REVIEW.jpg	none
../data/album_reviews/20180310_Anna von Hausswolff - Dead Magic ALBUM REVIEW/20180310_Anna von Hausswolff - Dead Magic ALBUM REVIEW.jpg	? flannel
../data/album_reviews/20191126_Coldplay - Everyday Life ALBUM REVIEW/20191126_Coldplay - Everyday Life ALBUM REVIEW.jpg	none
../data/album_reviews/20170920_Daniel Caesar - Freudian ALBUM REVIEW/20170920_Daniel Caesar - Freudian ALBUM REVIEW.jpg	? flannel
../data/album_reviews/20150811_Dr. Dre - Compton ALBUM REVIEW/20150811_Dr. Dre - Compton ALBUM REVIEW.jpg	? flannel
../data/album_reviews/20170924_Foo Fighters - Concrete and Gold ALBUM REVIEW/20170924_Foo Fighters - Concrete and Gold ALBUM REVIEW.jpg	none
../data/album_reviews/20150727_Injury Reserve - Live From the Dentist Office ALBUM REVIEW/20150727_Injury Reserve - Live From the Dentist Office ALBUM REVIEW.jpg	none
../data/album_reviews/20141017_My Brightest Diamond - This Is My Hand ALBUM REVIEW ft. Cal Chuchesta/20141017_My Brightest Diamond - This Is My Hand ALBUM REVIEW ft. Cal Chuchesta.jpg	red flannel
