filename	date	artist	title	score	likes	dislikes	views	duration
20100308_The Knife- Tomorrow, In a Year Album Review.jpg	20100308	The Knife	Tomorrow, In a Year	3/10	210	61	25696	397
20100505_Flying Lotus- Cosmogramma ALBUM REVIEW.jpg	20100505	Flying Lotus	Cosmogramma	8/10	1517	40	132687	471
20100509_Little Women- Throat ALBUM REVIEW.jpg	20100509	Little Women	Throat	9/10	249	7	26120	467
20100510_Holy Fuck- Latin ALBUM REVIEW.jpg	20100510	Holy Fuck	Latin	7/10	96	4	10291	339
20100511_The National- High Violet ALBUM REVIEW.jpg	20100511	The National	High Violet	6/10	270	243	53457	354
20100512_Woods- At Echo Lake ALBUM REVIEW.jpg	20100512	Woods	At Echo Lake	8/10	97	1	9901	342
20100513_The New Pornographers- Together ALBUM REVIEW.jpg	20100513	The New Pornographers	Together	7/10	103	3	11959	306
20100516_The Dead Weather- Sea of Cowards ALBUM REVIEW.jpg	20100516	The Dead Weather	Sea of Cowards	5/10	223	41	25433	321
20100517_LCD Soundsystem- This Is Happening ALBUM REVIEW.jpg	20100517	LCD Soundsystem	This Is Happening	9/10	1812	29	135944	383
20100518_The Black Keys- Brothers ALBUM REVIEW.jpg	20100518	The Black Keys	Brothers	7/10	520	53	108384	247
20100519_Sleigh Bells- Treats ALBUM REVIEW.jpg	20100519	Sleigh Bells	Treats	3/10	343	404	43359	322
20100520_Harlem- Hippies ALBUM REVIEW.jpg	20100520	Harlem	Hippies	7/10	197	3	15100	336
20100525_Tobacco- Maniac Meat ALBUM REVIEW.jpg	20100525	Tobacco	Maniac Meat	7/10	151	14	19896	331
20100526_Xasthur- Portal of Sorrow ALBUM REVIEW.jpg	20100526	Xasthur	Portal of Sorrow	4/10	331	60	34608	359
20100528_Ratatat- LP4 ALBUM REVIEW.jpg	20100528	Ratatat	LP4	8/10	241	8	28663	288
20100531_Guilty Simpson- OJ Simpson ALBUM REVIEW.jpg	20100531	Guilty Simpson	OJ Simpson	6/10	114	6	11641	341
20100601_Tame Impala- Innerspeaker ALBUM REVIEW.jpg	20100601	Tame Impala	Innerspeaker	6/10	896	620	95573	305
20100602_Melvins- The Bride Screamed Murder ALBUM REVIEW.jpg	20100602	Melvins	The Bride Screamed Murder	5/10	174	29	15678	334
20100603_Sleepy Sun- Fever ALBUM REVIEW.jpg	20100603	Sleepy Sun	Fever	7/10	93	1	7419	311
20100606_Here We Go Magic- Pigeons ALBUM REVIEW.jpg	20100606	Here We Go Magic	Pigeons	7/10	60	1	7753	318
20100607_Ariel Pink's Haunted Graffiti- Before Today ALBUM REVIEW.jpg	20100607	Ariel Pink's Haunted Graffiti	Before Today	8/10	397	22	51802	327
20100608_Suckers- Wild Smile ALBUM REVIEW.jpg	20100608	Suckers	Wild Smile	7/10	73	3	6081	321
20100610_The Drums- Self-Titled ALBUM REVIEW.jpg	20100610	The Drums- Self	Titled	8/10	358	9	26450	291
20100612_Foals- Total Life Forever ALBUM REVIEW.jpg	20100612	Foals	Total Life Forever	4/10	196	319	31447	242
20100616_Villagers- Becoming A Jackal ALBUM REVIEW.jpg	20100616	Villagers	Becoming A Jackal	6/10	71	4	7693	358
20100617_Devo- Something For Everybody ALBUM REVIEW.jpg	20100617	Devo	Something For Everybody	6/10	184	22	18131	374
20100617_The Radio Dept.- Clinging To A Scheme ALBUM REVIEW.jpg	20100617	The Radio Dept.	Clinging To A Scheme	8/10	333	17	29512	372
20100619_Uffie- Sex Dreams and Denim Jeans ALBUM REVIEW.jpg	20100619	Uffie	Sex Dreams and Denim Jeans	2/10	331	77	28778	328
20100622_Janelle Monáe- The ArchAndroid ALBUM REVIEW.jpg	20100622	Janelle Monáe	The ArchAndroid	8/10	1102	14	82621	486
20100623_Laurie Anderson- Homeland ALBUM REVIEW.jpg	20100623	Laurie Anderson	Homeland	8/10	146	4	13033	420
20100626_Emeralds- Does It Look Like I'm Here ALBUM REVIEW.jpg	20100626	Emeralds	Does It Look Like I'm Here	6/10	82	8	11292	302
20100628_Various Artists- Cloud Cuckooland ALBUM REVIEW.jpg	20100628	Various Artists	Cloud Cuckooland	7/10	47	1	4746	308
20100629_Wolf Parade- Expo 86 ALBUM REVIEW.jpg	20100629	Wolf Parade	Expo 86	6/10	111	7	11905	281
20100630_The Roots- How I Got Over ALBUM REVIEW.jpg	20100630	The Roots	How I Got Over	8/10	524	9	49737	359
20100701_Wavves- King of the Beach ALBUM REVIEW.jpg	20100701	Wavves	King of the Beach	8/10	727	29	60841	327
20100705_Club 8- The People's Record ALBUM REVIEW.jpg	20100705	Club 8	The People's Record	5/10	37	2	4251	260
20100706_Big Boi- Sir Lucious Left Foot - The Son of Chico Dusty ALBUM REVIEW.jpg	20100706	Big Boi- Sir Lucious Left Foot 	The Son of Chico Dusty	6/10	196	125	35325	363
20100707_Noveller- Desert Fires ALBUM REVIEW.jpg	20100707	Noveller	Desert Fires	7/10	100	5	8542	280
20100711_Superhumanoids- Urgency ALBUM REVIEW.jpg	20100711	Superhumanoids	Urgency	8/10	77	2	7102	227
20100713_Dirty Projectors and Bjork- Mount Wittenberg Orca ALBUM REVIEW.jpg	20100713	Dirty Projectors and Bjork	Mount Wittenberg Orca	8/10	258	6	18046	315
20100715_MIA- Maya (_ _ Y _) ALBUM REVIEW.jpg	20100715	MIA	Maya (_ _ Y _)	5/10	303	120	51442	389
20100719_The Books- The Way Out ALBUM REVIEW.jpg	20100719	The Books	The Way Out	9/10	369	10	26017	343
20100721_Baths- Cerulean ALBUM REVIEW.jpg	20100721	Baths	Cerulean	8/10	367	7	32348	305
20100725_Mono_Poly- Paramatma ALBUM REVIEW.jpg	20100725	Mono_Poly	Paramatma	6/10	73	6	8694	308
20100726_Best Coast- Crazy For You ALBUM REVIEW.jpg	20100726	Best Coast	Crazy For You	5/10	220	15	31146	271
20100727_Wild Nothing- Gemini ALBUM REVIEW.jpg	20100727	Wild Nothing	Gemini	7/10	178	16	21922	333
20100728_Dangermouse and Sparklehorse- Dark Night of the Soul ALBUM REVIEW.jpg	20100728	Dangermouse and Sparklehorse	Dark Night of the Soul	xx/10	303	9	15901	180
20100729_Arcade Fire- The Suburbs ALBUM REVIEW.jpg	20100729	Arcade Fire	The Suburbs	8/10	1549	52	153704	381
20100802_Ceremony- Rohnert Park ALBUM REVIEW.jpg	20100802	Ceremony	Rohnert Park	8/10	245	9	22676	306
20100805_Daughters- Self-Titled ALBUM REVIEW.jpg	20100805	Daughters- Self	Titled	8/10	1055	14	52177	219
20100810_The Budos Band- The Budos Band III ALBUM REVIEW.jpg	20100810	The Budos Band	The Budos Band III	5/10	66	10	6922	344
20100812_Autolux- Transit Transit ALBUM REVIEW.jpg	20100812	Autolux	Transit Transit	6/10	84	12	10353	296
20100813_Various Artists- Afro-Beat Airways ALBUM REVIEW.jpg	20100813	Various Artists- Afro	Beat Airways	8/10	109	1	8626	252
20100816_Thou- Summit ALBUM REVIEW.jpg	20100816	Thou	Summit	7/10	149	5	13860	327
20100817_Iron Maiden- The Final Frontier ALBUM REVIEW.jpg	20100817	Iron Maiden	The Final Frontier	6/10	427	86	46872	321
20100818_Teen Daze- Four More Years ALBUM REVIEW.jpg	20100818	Teen Daze	Four More Years	7/10	89	4	8683	258
20100826_Matmos and So Percussion- Treasure State ALBUM REVIEW.jpg	20100826	Matmos and So Percussion	Treasure State	6/10	63	1	7340	302
20100829_Klaxons- Surfing the Void ALBUM REVIEW.jpg	20100829	Klaxons	Surfing the Void	4/10	124	8	14168	271
20100830_Mogwai- Special Moves ALBUM REVIEW.jpg	20100830	Mogwai	Special Moves	8/10	185	5	19797	285
20100831_Magic Kids- Memphis ALBUM REVIEW.jpg	20100831	Magic Kids	Memphis	8/10	91	2	8397	253
20100902_Interpol- Self-Titled ALBUM REVIEW.jpg	20100902	Interpol- Self	Titled	5/10	359	58	34569	299
20100905_Miami Horror- Illumination ALBUM REVIEW.jpg	20100905	Miami Horror	Illumination	7/10	142	6	14025	233
20100906_Watain- Lawless Darkness ALBUM REVIEW.jpg	20100906	Watain	Lawless Darkness	6/10	215	27	19801	311
20100907_Tera Melos- Patagonian Rats ALBUM REVIEW.jpg	20100907	Tera Melos	Patagonian Rats	5/10	118	121	15535	313
20100908_Weezer- Hurley ALBUM REVIEW.jpg	20100908	Weezer	Hurley	7/10	814	29	71954	303
20100909_of Montreal- False Priest ALBUM REVIEW.jpg	20100909	of Montreal	False Priest	5/10	217	13	19265	309
20100912_Blonde Redhead- Penny Sparkle ALBUM REVIEW.jpg	20100912	Blonde Redhead	Penny Sparkle	8/10	186	7	13481	276
20100913_Grinderman- Grinderman 2 ALBUM REVIEW.jpg	20100913	Grinderman	Grinderman 2	7/10	173	5	20742	322
20100914_The Walkmen- Lisbon ALBUM REVIEW.jpg	20100914	The Walkmen	Lisbon	5/10	83	50	17611	327
20100915_Chromeo- Business Casual ALBUM REVIEW.jpg	20100915	Chromeo	Business Casual	9/10	283	4	30579	301
20100919_Future Islands- In Evening Air ALBUM REVIEW.jpg	20100919	Future Islands	In Evening Air	7/10	152	19	23587	279
20100920_Black Milk- Album of the Year ALBUM REVIEW.jpg	20100920	Black Milk	Album of the Year	4/10	75	26	12590	333
20100921_Black Mountain- Wilderness Heart ALBUM REVIEW.jpg	20100921	Black Mountain	Wilderness Heart	6/10	76	4	7278	298
20100923_Swans- My Father Will Guide Me Up a Rope to the Sky ALBUM REVIEW.jpg	20100923	Swans	My Father Will Guide Me Up a Rope to the Sky	6/10	517	41	45808	435
20100924_Deerhunter- Halcyon Digest ALBUM REVIEW.jpg	20100924	Deerhunter	Halcyon Digest	8/10	659	14	75097	349
20100926_Nails- Unsilent Death ALBUM REVIEW.jpg	20100926	Nails	Unsilent Death	9/10	1059	14	53011	304
20100927_No Age- Everything In Between ALBUM REVIEW.jpg	20100927	No Age	Everything In Between	6/10	83	8	14605	303
20100928_Neil Young- Le Noise ALBUM REVIEW.jpg	20100928	Neil Young	Le Noise	5/10	91	18	15961	324
20100929_Women- Public Strain ALBUM REVIEW.jpg	20100929	Women	Public Strain	9/10	738	12	37144	365
20100930_Salem- King Night ALBUM REVIEW.jpg	20100930	Salem	King Night	2/10	539	575	60750	357
20101004_Abe Vigoda- Crush ALBUM REVIEW.jpg	20101004	Abe Vigoda	Crush	4/10	72	3	6881	288
20101005_Twin Shadow- Forget ALBUM REVIEW.jpg	20101005	Twin Shadow	Forget	8/10	257	9	28409	307
20101007_Mark Ronson & The Business Intl.- Record Collection ALBUM REVIEW.jpg	20101007	Mark Ronson & The Business Intl.	Record Collection	5/10	130	5	15060	325
20101010_Sufjan Stevens- The Age of Adz ALBUM REVIEW.jpg	20101010	Sufjan Stevens	The Age of Adz	6/10	453	648	71722	403
20101011_Belle and Sebastian Write About Love ALBUM REVIEW.jpg	20101011	Belle and Sebastian	Write About Love	6/10	139	8	16671	318
20101012_The Fresh & Onlys- Play It Strange ALBUM REVIEW.jpg	20101012	The Fresh & Onlys	Play It Strange	4/10	83	3	8532	295
20101013_Luke Abbott- Holkham Drones ALBUM REVIEW.jpg	20101013	Luke Abbott	Holkham Drones	8/10	146	4	9780	336
20101014_Sharon Van Etten- Epic ALBUM REVIEW.jpg	20101014	Sharon Van Etten	Epic	7/10	128	2	10625	273
20101017_Avey Tare- Down There ALBUM REVIEW.jpg	20101017	Avey Tare	Down There	5/10	127	76	19129	311
20101019_Kings of Leon- Come Around Sundown ALBUM REVIEW.jpg	20101019	Kings of Leon	Come Around Sundown	4/10	404	59	46915	324
20101020_Zach Hill- Face Tat ALBUM REVIEW.jpg	20101020	Zach Hill	Face Tat	5/10	794	151	48922	346
20101024_Matthew Dear- Black City ALBUM REVIEW.jpg	20101024	Matthew Dear	Black City	7/10	104	4	9671	251
20101025_Warpaint- The Fool ALBUM REVIEW.jpg	20101025	Warpaint	The Fool	6/10	295	11	24659	339
20101026_Diamond Rings- Special Affections ALBUM REVIEW.jpg	20101026	Diamond Rings	Special Affections	8/10	94	3	10826	282
20101027_Squarepusher Presents Shobaleader One - d'Demonstrator ALBUM REVIEW.jpg	20101027	Squarepusher Presents Shobaleader One 	d'Demonstrator	5/10	184	14	20453	361
20101028_Bongripper- Satan Worshipping Doom ALBUM REVIEW.jpg	20101028	Bongripper	Satan Worshipping Doom	8/10	860	19	48378	323
20101029_Small Black- New Chain ALBUM REVIEW.jpg	20101029	Small Black	New Chain		411	9	8139	128
20101031_How To Dress Well- Love Remains ALBUM REVIEW.jpg	20101031	How To Dress Well	Love Remains	4/10	156	23	18444	316
20101101_Electric Wizard- Black Masses ALBUM REVIEW.jpg	20101101	Electric Wizard	Black Masses	6/10	565	28	50588	289
20101102_Brian Eno- Small Craft On A Milk Sea ALBUM REVIEW.jpg	20101102	Brian Eno	Small Craft On A Milk Sea	8/10	314	18	25950	366
20101103_Das Racist- Shut Up, Dude _ Sit Down, Man ALBUM REVIEW.jpg	20101103	Das Racist	Shut Up, Dude _ Sit Down, Man	6/10 & 8/10	650	25	59677	346
20101104_Kid Cudi- Man on the Moon II - The Legend of Mr. Rager ALBUM REVIEW.jpg	20101104	Kid Cudi- Man on the Moon II 	The Legend of Mr. Rager	6/10	2181	1086	274086	334
20101106_Gold Panda- Lucky Shiner ALBUM REVIEW.jpg	20101106	Gold Panda	Lucky Shiner	7/10	147	22	20673	246
20101107_Matt & Kim- Sidewalks ALBUM REVIEW.jpg	20101107	Matt & Kim	Sidewalks		206	6	15901	345
20101108_Cee Lo Green- The Lady Killer ALBUM REVIEW.jpg	20101108	Cee Lo Green	The Lady Killer	7/10	299	10	34933	330
20101110_Weekend- Sports ALBUM REVIEW.jpg	20101110	Weekend	Sports	8/10	221	5	14207	342
20101112_Teebs- Ardour ALBUM REVIEW.jpg	20101112	Teebs	Ardour	6/10	175	14	19244	296
20101116_Kanye West- My Beautiful Dark Twisted Fantasy ALBUM REVIEW.jpg	20101116	Kanye West	My Beautiful Dark Twisted Fantasy	6/10	10874	32307	997973	422
20101117_Agalloch- Marrow of the Spirit ALBUM REVIEW.jpg	20101117	Agalloch	Marrow of the Spirit	8/10	639	20	38426	336
20101118_Girl Talk- All Day ALBUM REVIEW.jpg	20101118	Girl Talk	All Day	8/10	284	7	27227	272
20101125_Glasser- Ring ALBUM REVIEW.jpg	20101125	Glasser	Ring	8/10	245	2	17171	467
20101127_Maserati- Pyramid of the Sun ALBUM REVIEW.jpg	20101127	Maserati	Pyramid of the Sun	7/10	140	4	9736	329
20101129_Off!- First Four EPs ALBUM REVIEW.jpg	20101129	Off!	First Four EPs	8/10	288	7	23311	286
20101201_Daft Punk- Tron - Legacy SOUNDTRACK _ ALBUM REVIEW.jpg	20101201	Daft Punk- Tron 	Legacy SOUNDTRACK _	heyyeahprettycoosoundtrackbrah/10	1104	42	82872	326
20101202_Tyler, The Creator- Bastard ALBUM REVIEW.jpg	20101202	Tyler, The Creator	Bastard	7/10	7807	169	418277	443
20101205_Tonetta- 777 Volume One ALBUM REVIEW.jpg	20101205	Tonetta	777 Volume One	6/10	1103	49	73806	354
20101207_Kids & Explosions- Shit Computer ALBUM REVIEW.jpg	20101207	Kids & Explosions	Shit Computer	8/10	204	4	16765	371
20101208_Anika- Self-Titled ALBUM REVIEW.jpg	20101208	Anika- Self	Titled	3/10	97	12	8922	345
20101209_Röyksopp- Senior ALBUM REVIEW.jpg	20101209	Röyksopp	Senior	5/10	192	4	13503	339
20101220_The Souljazz Orchestra- Rising Sun ALBUM REVIEW.jpg	20101220	The Souljazz Orchestra	Rising Sun	8/10	120	2	11810	346
20101221_Ghostface Killah- Apollo Kids ALBUM REVIEW.jpg	20101221	Ghostface Killah	Apollo Kids	8/10	361	16	38386	329
20101227_Big Blood- Dark Country Magic ALBUM REVIEW.jpg	20101227	Big Blood	Dark Country Magic	7/10	117	2	10408	275
20101228_Gorillaz- The Fall ALBUM REVIEW.jpg	20101228	Gorillaz	The Fall	5/10	2042	66	124947	408
20101230_Shad- TSOL ALBUM REVIEW.jpg	20101230	Shad	TSOL	6/10	149	48	17674	316
20110103_M.I.A.- ViCKi LEEKX ALBUM REVIEW.jpg	20110103	M.I.A.	ViCKi LEEKX	6/10	289	16	21393	337
20110105_jj- Kills ALBUM REVIEW.jpg	20110105	jj	Kills	3/10	188	26	16683	285
20110106_All Pigs Must DIe- Self-Titled ALBUM REVIEW.jpg	20110106	All Pigs Must DIe- Self	Titled	7/10	171	7	15884	304
20110109_Cake- Showroom of Compassion ALBUM REVIEW.jpg	20110109	Cake	Showroom of Compassion	7/10	463	8	26158	348
20110110_Wire- Red Barked Tree ALBUM REVIEW.jpg	20110110	Wire	Red Barked Tree	5/10	227	14	22118	330
20110111_British Sea Power- Valhalla Dancehall ALBUM REVIEW.jpg	20110111	British Sea Power	Valhalla Dancehall	8/10	178	9	21357	347
20110113_Cage the Elephant- Thank You, Happy Birthday ALBUM REVIEW.jpg	20110113	Cage the Elephant	Thank You, Happy Birthday	5/10	450	329	47863	345
20110115_Ghost- Opus Eponymous ALBUM REVIEW.jpg	20110115	Ghost	Opus Eponymous	8/10	2536	76	159323	326
20110117_A-1- After School Special ALBUM REVIEW.jpg	20110117	A-1	After School Special	7/10	304	7	15603	306
20110118_Smith Westerns- Dye It Blonde ALBUM REVIEW.jpg	20110118	Smith Westerns	Dye It Blonde	7/10	181	11	18143	315
20110120_White Lies- Ritual ALBUM REVIEW.jpg	20110120	White Lies	Ritual	4/10	260	36	19247	312
20110121_Fergus & Geronimo- Unlearn ALBUM REVIEW.jpg	20110121	Fergus & Geronimo	Unlearn	8/10	195	1	16084	263
20110124_Deerhoof- Deerhoof vs Evil ALBUM REVIEW.jpg	20110124	Deerhoof	Deerhoof vs Evil		240	7	21211	324
20110125_Destroyer- Kaputt ALBUM REVIEW.jpg	20110125	Destroyer	Kaputt	9/10	819	14	58133	309
20110126_The Decemberists- The King Is Dead ALBUM REVIEW (Iron & Wine, too!).jpg	20110126	The Decemberists	The King Is Dead	4/10 & 6/10	628	27	42044	512
20110127_Kvelertak- Self-Titled ALBUM REVIEW.jpg	20110127	Kvelertak- Self	Titled	8/10	696	11	58461	337
20110131_Braids- Native Speaker ALBUM REVIEW.jpg	20110131	Braids	Native Speaker	7/10	142	3	15258	305
20110203_John Vanderslice- White Wilderness ALBUM REVIEW.jpg	20110203	John Vanderslice	White Wilderness	6/10	88	5	7628	256
20110204_Dumbo Gets Mad- Elephants at the Door ALBUM REVIEW.jpg	20110204	Dumbo Gets Mad	Elephants at the Door	8/10	363	6	37993	402
20110207_Earth- Angels of Darkness, Demons of Light I ALBUM REVIEW.jpg	20110207	Earth	Angels of Darkness, Demons of Light I	7/10	256	9	23633	282
20110208_Cut Copy- Zonoscope ALBUM REVIEW.jpg	20110208	Cut Copy	Zonoscope	5/10	229	23	28378	339
20110209_James Blake- James Blake ALBUM REVIEW.jpg	20110209	James Blake	James Blake	7/10	1088	38	104856	353
20110215_Mogwai- Hardcore Will Never Die, but You Will ALBUM REVIEW.jpg	20110215	Mogwai	Hardcore Will Never Die, but You Will	8/10	472	20	49699	307
20110216_Lil B- Angels Exodus ALBUM REVIEW (Andy D, too!).jpg	20110216	Lil B	Angels Exodus	3/10	588	140	53294	377
20110217_Vreid- V ALBUM REVIEW.jpg	20110217	Vreid	V	6/10	230	13	15327	341
20110218_Nicolas Jaar- Space Is Only Noise ALBUM REVIEW.jpg	20110218	Nicolas Jaar	Space Is Only Noise	8/10	609	25	78225	389
20110220_Radiohead- The King of Limbs ALBUM REVIEW.jpg	20110220	Radiohead	The King of Limbs	6/10	3216	462	286483	491
20110221_Colin Stetson- New History Warfare Vol. 2 - Judges ALBUM REVIEW.jpg	20110221	Colin Stetson- New History Warfare Vol. 2 	Judges	8/10	808	26	34395	391
20110222_Toro Y Moi- Underneath the Pine ALBUM REVIEW.jpg	20110222	Toro Y Moi	Underneath the Pine	6/10	433	43	53570	332
20110224_PJ Harvey- Let England Shake ALBUM REVIEW.jpg	20110224	PJ Harvey	Let England Shake	8/10	593	14	49281	326
20110225_Fashawn- Higher Learning Vol. 2 ALBUM REVIEW.jpg	20110225	Fashawn	Higher Learning Vol. 2	6/10	209	7	20118	347
20110227_Yuck- Self-TItled ALBUM REVIEW.jpg	20110227	Yuck- Self	TItled	5/10	420	60	35824	292
20110228_Siriusmo- Mosaik ALBUM REVIEW.jpg	20110228	Siriusmo	Mosaik	7/10	242	28	26835	295
20110301_The Mountain Goats- All Eternals Deck ALBUM REVIEW.jpg	20110301	The Mountain Goats	All Eternals Deck	8/10	319	10	28448	335
20110303_Beady Eye- Different Gear, Still Speeding ALBUM REVIEW.jpg	20110303	Beady Eye	Different Gear, Still Speeding	3/10	661	86	45484	267
20110304_Weedeater- Jason...The Dragon ALBUM REVIEW.jpg	20110304	Weedeater	Jason...The Dragon	7/10	351	19	28400	294
20110306_Tim Hecker- Ravedeath, 1972 ALBUM REVIEW.jpg	20110306	Tim Hecker	Ravedeath, 1972	8/10	683	25	47420	298
20110307_Lupe Fiasco- Lasers ALBUM REVIEW.jpg	20110307	Lupe Fiasco	Lasers	3/10	1143	115	112707	292
20110308_Raekwon- Shaolin vs. Wu-Tang ALBUM REVIEW.jpg	20110308	Raekwon- Shaolin vs. Wu	Tang	5/10	272	26	32564	313
20110310_Burzum- Fallen ALBUM REVIEW.jpg	20110310	Burzum	Fallen	6/10	2919	1332	237198	441
20110314_Reks- R.E.K.S. ALBUM REVIEW.jpg	20110314	Reks	R.E.K.S.	8/10	237	12	21137	437
20110324_The Strokes- Angles ALBUM REVIEW.jpg	20110324	The Strokes	Angles	7/10	2065	73	154928	336
20110326_The Pains of Being Pure at Heart- Belong ALBUM REVIEW.jpg	20110326	The Pains of Being Pure at Heart	Belong	8/10	490	11	33239	305
20110327_Craft Spells- Idle Labor ALBUM REVIEW.jpg	20110327	Craft Spells	Idle Labor	8/10	467	9	28465	315
20110330_Bibio- Mind Bokeh ALBUM REVIEW.jpg	20110330	Bibio	Mind Bokeh	5/10	171	20	23082	313
20110331_Big K.R.I.T.- Returnof4eva ALBUM REVIEW.jpg	20110331	Big K.R.I.T.	Returnof4eva	9/10	1512	16	108238	444
20110404_Trap Them- Darker Handcraft ALBUM REVIEW.jpg	20110404	Trap Them	Darker Handcraft	7/10	361	7	24959	336
20110406_Panda Bear- Tomboy ALBUM REVIEW.jpg	20110406	Panda Bear	Tomboy	5/10	450	124	50022	378
20110407_Holy Ghost!- Holy Ghost! ALBUM REVIEW.jpg	20110407	Holy Ghost!	Holy Ghost!	8/10	210	3	20624	310
20110408_The Vaccines- What Did You Expect From the Vaccines ALBUM REVIEW.jpg	20110408	The Vaccines	What Did You Expect From the Vaccines	6/10	638	15	37768	341
20110410_Timber Timbre- Creep On Creepin' On ALBUM REVIEW.jpg	20110410	Timber Timbre	Creep On Creepin' On	8/10	413	8	28443	303
20110412_TV on the Radio- Nine Types of Light ALBUM REVIEW.jpg	20110412	TV on the Radio	Nine Types of Light	6/10	320	22	34623	336
20110413_The Weeknd- House of Balloons ALBUM REVIEW.jpg	20110413	The Weeknd	House of Balloons	3/10	1829	6731	251377	357
20110414_Crystal Stilts- In Love With Oblivion ALBUM REVIEW.jpg	20110414	Crystal Stilts	In Love With Oblivion	8/10	481	11	25944	390
20110418_Metronomy- The English Riviera ALBUM REVIEW.jpg	20110418	Metronomy	The English Riviera	7/10	502	14	35696	334
20110419_Foo Fighters- Wasting Light ALBUM REVIEW.jpg	20110419	Foo Fighters	Wasting Light	6/10	1673	138	130630	391
20110419_Rotten Sound- Cursed ALBUM REVIEW.jpg	20110419	Rotten Sound	Cursed	5/10	194	6	15615	181
20110420_Wormrot- Dirge ALBUM REVIEW.jpg	20110420	Wormrot	Dirge	8/10	495	19	37803	220
20110421_tUnE-yArDs- W H O K I L L ALBUM REVIEW.jpg	20110421	tUnE-yArDs	W H O K I L L	7/10	270	18	31964	370
20110422_The Kills- Blood Pressures ALBUM REVIEW.jpg	20110422	The Kills	Blood Pressures	4/10	237	57	22919	226
20110425_Bill Callahan- Apocalypse ALBUM REVIEW.jpg	20110425	Bill Callahan	Apocalypse	6/10	247	13	22483	329
20110426_CunninLynguists- Oneirology ALBUM REVIEW.jpg	20110426	CunninLynguists	Oneirology	8/10	659	17	38691	324
20110427_Beastie Boys- Hot Sauce Committee Part Two ALBUM REVIEW.jpg	20110427	Beastie Boys	Hot Sauce Committee Part Two	9/10	1019	16	74197	416
20110428_Explosions In the Sky- Take Care, Take Care, Take Care ALBUM REVIEW.jpg	20110428	Explosions In the Sky	Take Care, Take Care, Take Care	5/10	315	40	39525	350
20110502_Fleet Foxes- Helplessness Blues ALBUM REVIEW.jpg	20110502	Fleet Foxes	Helplessness Blues	9/10	5563	277	1104895	390
20110504_The Antlers- Burst Apart ALBUM REVIEW.jpg	20110504	The Antlers	Burst Apart	4/10	317	256	47083	323
20110505_Death Grips- Exmilitary ALBUM REVIEW.jpg	20110505	Death Grips	Exmilitary	8/10	12485	264	667521	448
20110506_Tyler, The Creator- Goblin ALBUM REVIEW.jpg	20110506	Tyler, The Creator	Goblin	4/10	11698	1799	825490	911
20110510_Wild Beasts- Smother ALBUM REVIEW.jpg	20110510	Wild Beasts	Smother	7/10	230	32	27869	321
20110511_The Lonely Island- Turtleneck and Chain ALBUM REVIEW.jpg	20110511	The Lonely Island	Turtleneck and Chain		1350	108	134950	343
20110512_Liturgy- Aesthethica ALBUM REVIEW.jpg	20110512	Liturgy	Aesthethica	8/10	864	110	91734	494
20110513_Manchester Orchestra- Simple Math ALBUM REVIEW.jpg	20110513	Manchester Orchestra	Simple Math	4/10	221	106	30529	261
20110515_Jesu- Ascension ALBUM REVIEW.jpg	20110515	Jesu	Ascension	5/10	188	26	20638	325
20110516_Amon Tobin- ISAM ALBUM REVIEW.jpg	20110516	Amon Tobin	ISAM	7/10	385	32	30822	409
20110518_The UV Race- Homo ALBUM REVIEW.jpg	20110518	The UV Race	Homo	8/10	228	9	17956	320
20110519_This Will Destroy You- Tunnel Blanket ALBUM REVIEW.jpg	20110519	This Will Destroy You	Tunnel Blanket	6/10	257	15	24594	340
20110520_Balkans- Self-Titled ALBUM REVIEW.jpg	20110520	Balkans- Self	Titled	7/10	283	8	20138	340
20110525_Lady Gaga- Born This Way ALBUM REVIEW.jpg	20110525	Lady Gaga	Born This Way		4896	1238	270500	292
20110526_Boris- Heavy Rocks _ Attention Please ALBUM REVIEWS.jpg	20110526	Boris	Heavy Rocks _ Attention Please	6/10 & 4/10	356	30	30474	621
20110527_Coma Cinema- Blue Suicide ALBUM REVIEW.jpg	20110527	Coma Cinema	Blue Suicide	7/10	435	13	27521	332
20110530_Master Musicians of Bukkake-Totem 3 ALBUM REVIEW.jpg	20110530	Master Musicians of Bukkake	Totem 3	7/10	164	12	15833	337
20110531_My Morning Jacket- Circuital ALBUM REVIEW.jpg	20110531	My Morning Jacket	Circuital	5/10	230	35	30548	356
20110602_Death Cab for Cutie- Codes and Keys ALBUM REVIEW.jpg	20110602	Death Cab for Cutie	Codes and Keys	7/10	524	18	44407	396
20110603_Havok- Time Is Up ALBUM REVIEW.jpg	20110603	Havok	Time Is Up	8/10	650	18	34853	353
20110604_Planningtorock- W ALBUM REVIEW.jpg	20110604	Planningtorock	W	2/10	486	97	46679	355
20110606_Woods- Sun and Shade ALBUM REVIEW.jpg	20110606	Woods	Sun and Shade	5/10	181	6	15117	362
20110607_Arctic Monkeys- Suck It and See ALBUM REVIEW.jpg	20110607	Arctic Monkeys	Suck It and See	5/10	1872	1490	208306	350
20110608_Snake Oil- Snake Oil ALBUM REVIEW.jpg	20110608	Snake Oil	Snake Oil	7/10	163	5	14026	342
20110609_Battles- Gloss Drop ALBUM REVIEW.jpg	20110609	Battles	Gloss Drop	9/10	1099	34	81879	549
